featureName,featureClass,lat,lon,elevationFeet
Bull Mountain,Summit,40.9174782,-105.8347255,10085
Crazy Mountain,Summit,40.9402548,-105.9533413,8655
Dempsey Dome,Summit,40.9271992,-105.9683423,7926
Chimney Rock,Summit,40.9958117,-105.7683314,7828
Bald Mountain,Summit,40.9955417,-105.5033252,8012
Diamond Peak,Summit,40.9791508,-105.5599932,8599
Iron Mountain,Summit,40.9438723,-105.5669382,8691
Deadhorse Mountain,Summit,40.9538718,-105.5927721,9062
Fish Creek Rock,Pillar,40.9980414,-105.4405449,7723
Home Rock,Pillar,40.994708,-105.4486008,7661
Bull Rock,Pillar,40.9749857,-105.4922138,8110
Cap Rock,Pillar,40.975541,-105.4524898,7966
Haystack Rock,Pillar,40.9322068,-105.4694352,7372
Turkey Roost,Summit,40.902206,-105.4230445,7733
Mount Evelyn,Summit,40.894706,-105.4624905,7529
Goat Mountain,Summit,40.9005397,-105.4949918,7775
Red Mountain,Summit,40.9072055,-105.2777608,7096
Little Twins,Summit,40.9591507,-105.2755383,7441
Table Mountain,Summit,40.9891516,-105.3330406,7903
Little Bald Mountain,Summit,40.975262,-105.2683158,7529
Table Mountain,Summit,40.9408172,-105.1755342,7054
Sheep Mountain,Summit,40.9266502,-105.2394259,7296
Mount Kimball,Summit,40.8947061,-105.4877693,7566
Gage Hill,Summit,40.7885929,-105.1910914,6033
Bobcat Mountain,Summit,40.8680387,-105.1510893,6276
Deadman Butte,Summit,40.8144263,-105.2341484,6076
Table Rock,Summit,40.8413712,-105.2360928,6375
Eagles Nest,Summit,40.77661,-105.21615,6424
Campbell Mountain,Summit,40.8227601,-105.1883133,6388
Calloway Hill,Summit,40.8305378,-105.3094291,6289
Livermore Mountain,Summit,40.7569254,-105.2924842,7484
Haystack Butte,Summit,40.7577588,-105.4377677,7779
Sheep Mountain,Summit,40.8027597,-105.4397122,7956
Blacktail Point,Summit,40.8530384,-105.423878,7434
Many Thunders Mountain,Summit,40.8372041,-105.5580501,8113
Mount Margaret,Summit,40.8177597,-105.5277712,7946
Black Mountain,Summit,40.8716478,-105.6391637,9941
South Bald Mountain,Summit,40.7524799,-105.6961132,10981
Middle Bald Mountain,Summit,40.7652577,-105.7072245,10938
North Bald Mountain,Summit,40.7758132,-105.6994461,10964
Little Bald Mountain,Summit,40.8585902,-105.7569461,10417
Deadman Hill,Summit,40.8110904,-105.7727815,10485
North Middle Mountain,Summit,40.8030341,-105.8888975,8861
Mansfield Hill,Summit,40.8930323,-106.0391797,9685
Pollock Knob,Summit,40.894421,-106.0575138,9810
Round Butte,Summit,40.9152619,-105.0488624,6050
Diamond Mountain,Summit,40.3847045,-106.5108693,9449
Bear Mountain,Summit,40.9983037,-106.534756,8422
Grannys Nipple,Summit,40.275817,-106.4583684,8238
Middle Carter Mountain,Summit,40.2705394,-106.4211449,8648
Carter Mountain,Summit,40.2994278,-106.4264225,9170
Whiteley Peak,Summit,40.3180388,-106.4933692,10075
Grannys Nightcap,Summit,40.3316497,-106.4497565,9616
White Slide Mountain,Summit,40.327483,-106.398088,10856
Red Slide Mountain,Summit,40.3352607,-106.3964212,10869
Chimney Rock,Summit,40.344705,-106.4194775,10131
South Ryder Peak,Summit,40.3594271,-106.4605899,9770
North Ryder Peak,Summit,40.3677604,-106.4633677,9833
Sheep Mountain,Summit,40.3610935,-106.2658609,11817
Coal Mountain,Summit,40.2591507,-106.3503091,9541
Parkview Mountain,Summit,40.3302614,-106.1361343,12296
Haystack Mountain,Summit,40.3272055,-106.1891917,11493
Sheep Mountain,Summit,40.3091501,-106.2408604,11302
Little Gravel Mountain,Summit,40.2569296,-106.0077967,11509
Radial Mountain,Summit,40.3597059,-106.0519644,11240
Tyler Mountain,Summit,40.1960955,-106.5186478,9373
Little Wolford Mountain,Summit,40.1327628,-106.3666976,8786
Wolford Mountain,Summit,40.1180407,-106.3914205,9163
Junction Butte,Summit,40.0283189,-106.3525296,8776
Red Mountain,Summit,40.0560965,-106.3441962,7933
Searight Mountain,Summit,40.2197071,-106.1441904,10275
Black Mountain,Summit,40.1402628,-106.2064144,9498
Slide Mountain,Summit,40.1422071,-106.2250262,9872
Elk Mountain,Summit,40.1619295,-106.1283562,11417
Grouse Mountain,Summit,40.143874,-106.1636352,10371
Sheephorn Mountain,Summit,39.9580417,-106.4419763,9570
Dice Hill,Summit,39.9352639,-106.4389205,9833
Old Baldy,Summit,39.7588753,-106.019184,11840
Ute Peak,Summit,39.7858194,-106.0775197,12273
Sugarloaf,Summit,39.7810974,-106.025851,9944
